GEO_ID,NAME,S1902_C01_001E,S1902_C01_001M,S1902_C02_001E,S1902_C02_001M,S1902_C01_002E,S1902_C01_002M,S1902_C02_002E,S1902_C02_002M,S1902_C01_003E,S1902_C01_003M,S1902_C02_003E,S1902_C02_003M,S1902_C01_004E,S1902_C01_004M,S1902_C02_004E,S1902_C02_004M,S1902_C01_005E,S1902_C01_005M,S1902_C02_005E,S1902_C02_005M,S1902_C01_006E,S1902_C01_006M,S1902_C02_006E,S1902_C02_006M,S1902_C01_007E,S1902_C01_007M,S1902_C02_007E,S1902_C02_007M,S1902_C01_008E,S1902_C01_008M,S1902_C02_008E,S1902_C02_008M,S1902_C01_009E,S1902_C01_009M,S1902_C02_009E,S1902_C02_009M,S1902_C01_010E,S1902_C01_010M,S1902_C02_010E,S1902_C02_010M,S1902_C01_011E,S1902_C01_011M,S1902_C02_011E,S1902_C02_011M,S1902_C01_012E,S1902_C01_012M,S1902_C02_012E,S1902_C02_012M,S1902_C01_013E,S1902_C01_013M,S1902_C02_013E,S1902_C02_013M,S1902_C01_014E,S1902_C01_014M,S1902_C02_014E,S1902_C02_014M,S1902_C01_015E,S1902_C01_015M,S1902_C02_015E,S1902_C02_015M,S1902_C01_016E,S1902_C01_016M,S1902_C02_016E,S1902_C02_016M,S1902_C01_017E,S1902_C01_017M,S1902_C02_017E,S1902_C02_017M,S1902_C01_018E,S1902_C01_018M,S1902_C02_018E,S1902_C02_018M,S1902_C01_019E,S1902_C01_019M,S1902_C02_019E,S1902_C02_019M,S1902_C01_020E,S1902_C01_020M,S1902_C02_020E,S1902_C02_020M,S1902_C01_021E,S1902_C01_021M,S1902_C02_021E,S1902_C02_021M,S1902_C01_022E,S1902_C01_022M,S1902_C02_022E,S1902_C02_022M,S1902_C01_023E,S1902_C01_023M,S1902_C02_023E,S1902_C02_023M,S1902_C01_024E,S1902_C01_024M,S1902_C02_024E,S1902_C02_024M,S1902_C01_025E,S1902_C01_025M,S1902_C02_025E,S1902_C02_025M,S1902_C01_026E,S1902_C01_026M,S1902_C02_026E,S1902_C02_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_027E,S1902_C02_027M
1400000US17057953900,"Census Tract 9539, Fulton County, Illinois",1217,79,51625,4103,73.7,4.5,51317,5280,22.4,4,7899,3879,35.6,4.3,15624,1542,5.1,3.1,9027,2280,2.1,1.2,1227,630,22,4,19224,3668,828,73,59855,5896,22.1,5.9,37031,6930,26.1,5.8,44443,8307,30.3,5.6,72003,9846,9.1,3.6,67095,12692,10.7,4.6,83036,26803,1.7,1.3,192057,136531,3083,197,21271,1483,95.2,2.6,21763,1542,1.2,0.9,-,**,0.1,0.2,N,N,0.3,0.4,N,N,0.1,0.1,N,N,0.2,0.3,N,N,2.9,2.1,12265,7714,1.3,1,31133,41001,94.3,3,21610,1710,28.8,(X),(X),(X),30.1,(X),(X),(X),23.3,(X),(X),(X)
1400000US17059972700,"Census Tract 9727, Gallatin County, Illinois",1081,62,59970,8429,66.1,5.2,57334,9466,26.5,5.3,31584,20819,45.8,5.1,17354,1533,5.1,2.9,7880,2899,1.1,1.2,1917,245,21.4,4.1,16159,4478,646,66,68812,11307,23.2,6.4,75015,39950,37.3,7.3,57247,12653,24.8,5.9,82338,8705,7.3,5.1,54938,19383,5.6,2.7,83481,32509,1.9,1.8,53508,21304,2520,127,26329,3773,96.1,1.5,27149,3945,0.3,0.7,N,N,0.4,0.4,N,N,0,1.2,-,**,0,1.2,-,**,0,1.2,-,**,3.3,1.4,3710,3728,0,1.2,-,**,96.1,1.5,27149,3945,20.1,(X),(X),(X),20.1,(X),(X),(X),13.6,(X),(X),(X)
1400000US17059972800,"Census Tract 9728, Gallatin County, Illinois",1288,88,51877,7804,71.2,4.6,51951,10197,20.5,4.3,9650,5196,41.1,4.1,15836,1112,3.6,2.3,7559,1183,0.5,0.7,517,93,21.1,3.9,16962,3366,908,84,63249,10800,18.6,5.6,32536,6158,36.1,6,50127,12856,28,6.1,98680,34018,7.5,4.2,65740,14920,4.4,2.6,67105,14091,5.4,4,66747,5358,2996,127,21786,2718,97.7,1.1,21816,2821,0.6,0.5,5194,8270,0.4,0.6,N,N,0.4,0.7,N,N,0,1,-,**,0,1,-,**,0.9,0.7,13215,15235,0.6,0.5,9817,14618,97.1,1.2,21880,2848,27.8,(X),(X),(X),30.3,(X),(X),(X),18.7,(X),(X),(X)
1400000US17061973600,"Census Tract 9736, Greene County, Illinois",1407,93,54858,4470,77.8,3.9,56398,5547,21.9,4.5,6111,2885,26.6,3.5,16161,1201,2.8,1.6,8065,1647,1.1,0.8,1047,402,17.6,3.6,20845,4244,1051,93,60868,5764,14,3.7,32199,6588,23.6,5.1,42087,5450,46.1,5.8,78517,10269,8.8,4,46956,19762,5.2,2.9,84704,10039,2.3,1.7,73908,17879,3679,263,20960,1953,95,1.5,21761,2003,3.2,2,148,242,0,0.8,-,**,0.2,0.3,N,N,0,0.8,-,**,0.7,0.7,N,N,1,0.7,15466,6761,1.6,1,15158,4861,94.5,1.7,21814,2011,29.4,(X),(X),(X),27.3,(X),(X),(X),20.8,(X),(X),(X)
1400000US17061973700,"Census Tract 9737, Greene County, Illinois",816,64,44500,5049,64.3,6.7,49377,6616,14.7,5.5,6460,3723,40.8,7.1,16168,2034,7,3.8,8972,2250,2.5,1.7,1355,794,21.6,4.8,13817,4862,535,63,52365,6013,29.9,8,34254,7844,31,9.2,36532,5277,28.4,8.6,74799,11419,3.6,4.3,46642,18138,7.1,4.9,110913,30834,0,5.4,-,**,1838,167,19497,1842,97.9,1.8,19402,1805,0,1.6,-,**,0,1.6,-,**,0,1.6,-,**,0.5,0.9,N,N,0.5,0.9,N,N,1.1,1.3,14235,8481,1.1,1.4,N,N,97.3,2,19521,1780,24,(X),(X),(X),28.2,(X),(X),(X),20.4,(X),(X),(X)
1400000US17061973800,"Census Tract 9738, Greene County, Illinois",831,66,62646,7165,79.7,6,53382,7128,28.4,8.4,25094,15294,41.3,6.6,16474,1324,3,2.2,7392,5336,0.4,0.5,5667,7225,25,6.8,18939,4101,553,65,72043,9196,14.5,6.1,N,N,28.8,9.1,N,N,33.8,9.5,N,N,10.7,5.1,N,N,11.4,6.3,N,N,0.9,1.3,N,N,1989,192,26218,3208,99.6,0.5,26244,3214,0,1.5,-,**,0,1.5,-,**,0,1.5,-,**,0,1.5,-,**,0.1,0.2,N,N,0.3,0.4,26200,30899,1.8,1.5,2700,6344,97.9,1.5,26641,3367,29.6,(X),(X),(X),34.2,(X),(X),(X),25.1,(X),(X),(X)
1400000US17061973900,"Census Tract 9739, Greene County, Illinois",1035,84,46152,4227,65.9,5.3,48737,6081,15.9,4,10167,4054,41.8,5.4,13643,1560,13,4.3,8496,2238,5.3,3.2,1993,521,18.9,4.9,16916,4924,708,72,51094,6378,25.3,6.6,N,N,29.7,7,N,N,31.5,7.6,N,N,7.5,4.6,N,N,4.2,2.6,N,N,1.8,2.1,N,N,2688,160,18761,1910,97.8,1.3,19060,1984,0.6,1,N,N,0.1,0.1,N,N,0,1.1,-,**,0,1.1,-,**,0.2,0.5,N,N,1.3,1.1,4531,2909,0.2,0.5,N,N,97.8,1.3,19060,1984,22.6,(X),(X),(X),26,(X),(X),(X),20,(X),(X),(X)
1400000US17061974000,"Census Tract 9740, Greene County, Illinois",1701,101,55586,5236,70.1,4.4,58948,7060,27.9,5.4,5418,1649,41.2,6.3,15615,1230,2.5,1.6,10964,3965,1.3,1.1,2273,1430,21,4,20283,4077,1058,87,67793,8170,14.3,4.1,41117,6899,30.7,7.3,55439,14713,39.5,7.1,73183,10605,6.4,2.8,78132,30872,9.1,3.9,120781,48199,0,2.8,-,**,3584,150,25620,2587,99.3,0.6,25576,2404,0.3,0.5,N,N,0,0.8,-,**,0,0.1,N,N,0,0.8,-,**,0,0.8,-,**,0.3,0.4,17050,18749,0.1,0.2,N,N,99.2,0.7,25598,2403,29,(X),(X),(X),26.7,(X),(X),(X),22.8,(X),(X),(X)
1400000US17063000102,"Census Tract 1.02, Grundy County, Illinois",2425,183,83254,9427,81.7,4.8,87394,11033,19.8,5,6443,6171,22.5,5.3,19775,3402,4.7,3,8201,1046,0.8,1.3,4590,10,14.8,4.6,25231,8378,1977,196,93785,10297,8.4,5.8,N,N,36.2,8.9,N,N,35.4,6.6,N,N,7.2,4.3,N,N,11.2,4.6,N,N,1.6,2.6,N,N,7481,470,27798,3567,94.1,4.5,29052,3596,0,0.4,-,**,0.2,0.2,N,N,0,0.1,N,N,0,0.4,-,**,3.8,4.5,6946,7281,1.8,1.8,8683,7116,12.3,5.2,18545,8424,85.7,5.3,29570,3695,24.3,(X),(X),(X),27.3,(X),(X),(X),21.3,(X),(X),(X)
1400000US17063000103,"Census Tract 1.03, Grundy County, Illinois",2048,179,79366,9751,92.1,4.2,73127,8911,14.5,5.7,34152,46624,16.1,3.6,19347,3078,2.5,2.6,13639,5988,1,1.2,10655,9447,13.6,4.9,16581,6901,1509,166,84044,12231,4.4,4.3,N,N,38.6,11.9,N,N,41.9,10.2,N,N,2.5,2.3,N,N,8.8,4.9,N,N,3.8,5,N,N,6106,548,27010,3563,94.2,4.4,27625,3862,4.5,4,13555,7042,0,0.5,-,**,0.4,0.6,N,N,0,0.5,-,**,0.9,1.4,N,N,0,0.5,-,**,9.5,3.7,21571,8028,85.6,5.8,28373,4086,19.8,(X),(X),(X),19.4,(X),(X),(X),14.5,(X),(X),(X)
